# id	name	mnn
2201	Полисорб МП	кремния диоксид коллоидный
3678	Полиспонин	диоскореи ниппонской корневищ с корнями экстракт
6050	Политион	тиоктовая кислота
2202	Политион &reg;	-
9074	Полиферон-CD4	~
9560	Полиэтиленпиперазин-N-оксид	субстанция-раствор"
3940	Полудан	полиадениловая кислота+полиуридиловая кислота
7549	Помегара	памидроновая кислота
11882	Популюс композитум CР	~
10940	Постеризан	кишечные палочки
11625	Постеризан форте	~
12677	Пофол	пропофол
12881	Поэтам	~
4402	Прадакса	дабигатрана этексилат
4281	Праджисан	прогестерон
2203	Празиквантел	-
3740	Празозин	празозин
2204	Праксбайнд &reg;	-
3438	Пралуэнт	-
7209	ПРАМ	циталопрам
2206	Прамипексол	-
9777	Прамипексола дигидрохлорида моногидрат	прамипексол
9638	Прамипексола дигидрохлорид моногидрат	прамипексол
2208	Прамипексол-Алиум	-
2207	Прамипексол Канон	-
2209	Пранобера &reg;	-
7814	Превенар	вакцина для профилактики пневмококковых инфекций
4343	Превенар 13	вакцина для профилактики пневмококковых инфекций
2210	Превенар 20	-
2211	Превимис	-
2212	Прега &reg; -Эйч	-
11939	Прегнил	гонадотропин хорионический
6414	Предизин	триметазидин
10815	Предуктал	триметазидин
11243	Предуктал МВ	триметазидин
5995	Предуктал ОД	триметазидин
5386	Презиста	дарунавир
4551	Прекард	триметазидин
4575	Преотакт	паратиреоидный гормон
10667	Препарат КК Кошачий коготь	~
12650	Препидил	динопростон
7343	Пресайнекс	десмопрессин
5445	Привиджен	иммуноглобулин человека нормальный
5273	Прилиджи	дапоксетин
10699	Примакаин с адреналином	артикаин+[эпинефрин]
8391	Прималан	мехитазин
